number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user
11,29bef095-73b7-4661-92a7-e21b20c51881,community_07,Mary,Michael,female,2004-06-17,59111077388,08073653527,https://www.commcarehq.org/photos/farmer_11.jpg,3,mixed_farming,2,owned,1,irrigation_scheme,---,maize groundnuts rice,1.8,4.5,1.6,---,---,---,10.276736 7.4659718 0.0 20.0,yes,c713f0d8-7fad-4ce7-8e24-38bc577a3a83,2026-02-14 00:06:00,2026-02-14,tester,2026-02-14 00:06:14,https://www.commcarehq.org/form/29bef095-73b7-4661-92a7-e21b20c51881,tester
12,1a3ff7ed-07d4-43f5-a315-3c6b6a91b2dd,community_03,Joy,Yusuf,male,1986-09-04,,+2348044249710,https://www.commcarehq.org/photos/farmer_12.jpg,7,crop_farming,8,family_land,1,rain-fed,---,groundnuts,3.0,---,---,---,---,---,10.3821665 7.5544548 0.0 20.0,yes,c06eb169-6f10-4bee-b351-f4c915d631b0,2026-06-28 00:05:00,2026-06-28,tester,2026-06-28 00:05:20,https://www.commcarehq.org/form/1a3ff7ed-07d4-43f5-a315-3c6b6a91b2dd,tester
13,14f1a7a3-e33a-4041-953c-03ac04ad5001,community_03,Sarah,Ojo,female,1962-12-12,81708395052,08045911455,https://www.commcarehq.org/photos/farmer_13.jpg,5,mixed_farming,33,owned,3,rain-fed,---,maize rice,---,5.0,3.4,goats,18,---,10.2956983 7.375949 0.0 20.0,yes,6b71b2cc-a0c2-4ca1-8fc0-41d385a234e4,2026-03-02 00:04:00,2026-03-02,tester,2026-03-02 00:04:15,https://www.commcarehq.org/form/14f1a7a3-e33a-4041-953c-03ac04ad5001,tester
14,809df703-eff7-4484-9840-9bd4e2517d4c,community_02,Mercy,Bello,male,1993-07-13,67616418900,08034083790,https://www.commcarehq.org/photos/farmer_14.jpg,11,crop_farming,7,leased,2,borehole,---,groundnuts maize rice,1.2,3.4,1.9,---,---,---,10.4896726 7.5362023 0.0 20.0,yes,09141427-1c6f-4bec-a545-656b4a4694ba,2026-06-09 00:06:00,2026-06-09,tester,2026-06-09 00:06:05,https://www.commcarehq.org/form/809df703-eff7-4484-9840-9bd4e2517d4c,tester
15,df27fc4e-bd94-482f-8aa3-4647ff418218,community_07,Blessing,Okafor,female,2002-04-29,,08012343829,https://www.commcarehq.org/photos/farmer_15.jpg,9,mixed_farming,1,leased,2,rain-fed,---,groundnuts rice maize,1.0,0.6,1.0,goats rabbits,23,15,10.3860136 7.3024975 0.0 20.0,yes,5eb1c96f-bdfb-4332-acbc-350ac537100e,2026-06-05 00:06:00,2026-06-05,tester,2026-06-05 00:06:08,https://www.commcarehq.org/form/df27fc4e-bd94-482f-8aa3-4647ff418218,tester
16,35410e56-cb21-458c-8739-4dead92bcf11,community_06,Rebecca,Ahmed,male,2003-09-16,,08093706617,https://www.commcarehq.org/photos/farmer_16.jpg,8,livestock_farming,1,owned,2,rain-fed,---,maize groundnuts rice,2.6,1.1,3.9,---,---,---,10.4829235 7.3741949 0.0 20.0,yes,9bc95806-911b-41eb-bdc4-a5f280298b05,2026-06-16 00:04:00,2026-06-16,tester,2026-06-16 00:04:20,https://www.commcarehq.org/form/35410e56-cb21-458c-8739-4dead92bcf11,tester
17,3a5d3ddd-ace9-4d61-8e6f-e3ab398ffb2b,community_03,Joy,Balogun,female,1993-05-26,42000950925,+2348075634343,https://www.commcarehq.org/photos/farmer_17.jpg,5,mixed_farming,5,owned,3,rain-fed,---,maize rice groundnuts,2.2,4.4,2.2,rabbits,---,16,10.3617605 7.2973221 0.0 20.0,yes,b8de62d9-7a3d-4de0-bc69-16831b5e949d,2026-04-05 00:05:00,2026-04-05,tester,2026-04-05 00:05:16,https://www.commcarehq.org/form/3a5d3ddd-ace9-4d61-8e6f-e3ab398ffb2b,tester
18,24af7100-0456-422b-aed2-32bad4ee1b24,community_03,Suleiman,Sani,male,1982-02-06,53776816193,08015712479,https://www.commcarehq.org/photos/farmer_18.jpg,7,mixed_farming,10,owned,1,borehole,---,maize,---,0.8,---,goats,11,---,10.2505118 7.5473845 0.0 20.0,yes,f9b48526-1d9f-4f75-b51e-944cde7b5f30,2026-01-04 00:06:00,2026-01-04,tester,2026-01-04 00:06:14,https://www.commcarehq.org/form/24af7100-0456-422b-aed2-32bad4ee1b24,tester
19,631251f6-65a0-4a6a-a6eb-0d534dbec286,community_03,Samuel,Johnson,male,2001-05-10,,08040601539,https://www.commcarehq.org/photos/farmer_19.jpg,3,mixed_farming,5,owned,3,irrigation_scheme,---,rice maize,---,2.3,2.7,---,---,---,10.5790361 7.2831152 0.0 20.0,yes,c18336b2-eb0c-40cb-96b8-ec6cdcbd9c8d,2026-06-19 00:02:00,2026-06-19,tester,2026-06-19 00:02:10,https://www.commcarehq.org/form/631251f6-65a0-4a6a-a6eb-0d534dbec286,tester
20,c63398a8-cffd-4423-b233-3302ee074467,community_02,Mercy,Bello,male,1986-11-13,49648888517,08077469766,https://www.commcarehq.org/photos/farmer_20.jpg,4,mixed_farming,9,family_land,5,rain-fed,---,maize rice groundnuts,1.7,2.3,1.9,goats,19,---,10.2321767 7.2159443 0.0 20.0,yes,5b9fa2e7-f4a6-4e01-8730-eb22454247c3,2026-03-24 00:06:00,2026-03-24,tester,2026-03-24 00:06:13,https://www.commcarehq.org/form/c63398a8-cffd-4423-b233-3302ee074467,tester
21,beec864f-44f6-4e13-a46a-c2bf8a19bdc2,community_01,Peter,Adeyemi,female,1985-08-01,,08057154294,https://www.commcarehq.org/photos/farmer_21.jpg,6,crop_farming,11,family_land,1,borehole,---,rice maize,---,5.4,2.4,---,---,---,10.3293095 7.5880739 0.0 20.0,yes,2050a636-95e5-4189-9bf3-38d3941b4191,2026-05-12 00:08:00,2026-05-12,tester,2026-05-12 00:08:05,https://www.commcarehq.org/form/beec864f-44f6-4e13-a46a-c2bf8a19bdc2,tester
22,a2acff26-833c-4ff0-8766-18a906be9c23,community_05,Mercy,Ali,male,1990-08-26,,08067259461,https://www.commcarehq.org/photos/farmer_22.jpg,8,crop_farming,18,owned,4,rain-fed,---,rice,---,---,3.4,---,---,---,10.4035488 7.30937 0.0 20.0,yes,2a982958-9748-4c05-93fe-83a4b8ff1d96,2026-05-01 00:03:00,2026-05-01,tester,2026-05-01 00:03:19,https://www.commcarehq.org/form/a2acff26-833c-4ff0-8766-18a906be9c23,tester
23,2101c2f1-4648-4b39-b3f0-3729fc67c6b9,community_04,Joseph,Daniel,female,1984-06-06,54731837094,08095822594,https://www.commcarehq.org/photos/farmer_23.jpg,4,crop_farming,18,owned,2,other,Rainwater Harvesting,maize groundnuts rice,0.6,5.0,3.0,---,---,---,10.4654755 7.528299 0.0 20.0,yes,c649ca44-b1b1-4c9b-bacd-ad566fab2058,2026-05-07 00:02:00,2026-05-07,tester,2026-05-07 00:02:09,https://www.commcarehq.org/form/2101c2f1-4648-4b39-b3f0-3729fc67c6b9,tester
24,524e83f4-0510-495f-b747-ce31f31f4d08,community_04,Blessing,Johnson,female,1969-05-25,11962491159,08074614936,https://www.commcarehq.org/photos/farmer_24.jpg,2,livestock_farming,25,leased,3,borehole,---,groundnuts rice maize,2.1,6.0,4.0,---,---,---,10.2393773 7.4534991 0.0 20.0,yes,2db6b6e4-8991-4617-a8d0-b7ccaf838096,2026-04-24 00:03:00,2026-04-24,tester,2026-04-24 00:03:14,https://www.commcarehq.org/form/524e83f4-0510-495f-b747-ce31f31f4d08,tester
25,8a68020a-eac6-4002-9d99-539425ffb5bc,community_07,Grace,Johnson,female,1990-12-02,68115916826,08057108629,https://www.commcarehq.org/photos/farmer_25.jpg,4,crop_farming,1,leased,2,borehole,---,groundnuts,1.6,---,---,goats,20,---,10.5848116 7.4761254 0.0 20.0,yes,4ba740fb-86be-42fe-8285-78c931c8b7b0,2026-03-19 00:03:00,2026-03-19,tester,2026-03-19 00:03:17,https://www.commcarehq.org/form/8a68020a-eac6-4002-9d99-539425ffb5bc,tester
26,dd118067-151c-47ff-9666-a5993d72792e,community_06,Mary,Garba,male,1991-07-17,64366683091,08025670649,https://www.commcarehq.org/photos/farmer_26.jpg,5,mixed_farming,8,family_land,3,borehole,---,rice groundnuts maize,2.8,4.4,1.6,goats,20,---,10.2525647 7.5638511 0.0 20.0,yes,751cf9f2-7b74-4484-a68c-d4ad75771c5b,2026-04-17 00:03:00,2026-04-17,tester,2026-04-17 00:03:11,https://www.commcarehq.org/form/dd118067-151c-47ff-9666-a5993d72792e,tester
27,95ee89ba-1490-4bc2-a5ed-4cd79a811228,community_01,Mercy,Michael,female,1982-04-19,52118547373,08073191987,https://www.commcarehq.org/photos/farmer_27.jpg,6,crop_farming,26,owned,2,rain-fed,---,rice maize groundnuts,2.6,6.1,0.9,goats,2,---,10.5772677 7.3312025 0.0 20.0,yes,ad4adad0-d52d-45ff-9d2d-03ee103977d5,2026-06-15 00:02:00,2026-06-15,tester,2026-06-15 00:02:19,https://www.commcarehq.org/form/95ee89ba-1490-4bc2-a5ed-4cd79a811228,tester
28,3909c1ca-b0e9-43b2-834c-bc5bc90172c0,community_07,Musa,Ojo,male,2008-02-01,,08012533965,https://www.commcarehq.org/photos/farmer_28.jpg,7,crop_farming,1,family_land,3,dam_reservoir,---,rice,---,---,1.8,goats,9,---,10.2397418 7.4742721 0.0 20.0,yes,566c2023-7157-4b5d-9778-fb56d6c4c72b,2026-06-15 00:04:00,2026-06-15,tester,2026-06-15 00:04:06,https://www.commcarehq.org/form/3909c1ca-b0e9-43b2-834c-bc5bc90172c0,tester
29,eff68195-e122-4111-a570-a98668a88c0a,community_03,John,James,female,1974-08-09,94350979790,08090397285,https://www.commcarehq.org/photos/farmer_29.jpg,7,crop_farming,10,family_land,4,other,Spring Water,groundnuts rice,2.2,---,0.6,goats,9,---,10.2063124 7.306147 0.0 20.0,yes,9b1c571f-f609-4003-8fc6-595e044173c0,2026-04-18 00:06:00,2026-04-18,tester,2026-04-18 00:06:08,https://www.commcarehq.org/form/eff68195-e122-4111-a570-a98668a88c0a,tester
30,4665e982-3fd1-4525-84ef-a638bcd42980,community_05,Ruth,Ali,female,1984-11-22,95664907881,08007854904,https://www.commcarehq.org/photos/farmer_30.jpg,6,mixed_farming,15,owned,1,rain-fed,---,maize,---,4.2,---,---,---,---,10.3523618 7.4389567 0.0 20.0,yes,ba748c6d-5e10-4bea-aa23-435cdb23bcc7,2026-05-10 00:06:00,2026-05-10,tester,2026-05-10 00:06:18,https://www.commcarehq.org/form/4665e982-3fd1-4525-84ef-a638bcd42980,tester
31,22ba1cb0-6199-4479-891e-d71690155ec2,community_01,Yusuf,James,female,1978-03-25,43879092961,08048373329,https://www.commcarehq.org/photos/farmer_31.jpg,9,crop_farming,4,family_land,2,rain-fed,---,rice maize groundnuts,1.5,5.7,3.8,goats rabbits,25,20,10.440164 7.3406585 0.0 20.0,yes,9a0b851d-70fc-4264-8a98-6b3a2fe72357,2026-02-24 00:03:00,2026-02-24,tester,2026-02-24 00:03:20,https://www.commcarehq.org/form/22ba1cb0-6199-4479-891e-d71690155ec2,tester
32,af21fc32-6618-4206-a3af-3f5dade8480d,community_02,Mary,Samuel,female,1991-09-20,94274662027,08065666027,https://www.commcarehq.org/photos/farmer_32.jpg,5,crop_farming,13,owned,3,rain-fed,---,rice groundnuts maize,1.5,2.5,1.8,---,---,---,10.4270374 7.2339828 0.0 20.0,yes,1daefcbd-2e73-477e-9adc-4fc37d0c16b7,2026-02-10 00:08:00,2026-02-10,tester,2026-02-10 00:08:06,https://www.commcarehq.org/form/af21fc32-6618-4206-a3af-3f5dade8480d,tester
33,d01d6450-be01-46c7-a1b4-f5f45107bdae,community_05,James,Ali,female,1978-12-13,81961932838,08014264603,https://www.commcarehq.org/photos/farmer_33.jpg,1,crop_farming,5,family_land,2,rain-fed,---,maize groundnuts rice,1.5,4.7,2.3,---,---,---,10.2288302 7.5447057 0.0 20.0,yes,349136ec-8bb6-4d34-9f81-ec6519580ea7,2026-01-05 00:05:00,2026-01-05,tester,2026-01-05 00:05:07,https://www.commcarehq.org/form/d01d6450-be01-46c7-a1b4-f5f45107bdae,tester
34,600a1295-8407-48e4-8cd4-2f6d8e24a13d,community_06,Blessing,Usman,female,1980-02-15,32869705212,08086890825,https://www.commcarehq.org/photos/farmer_34.jpg,2,crop_farming,25,owned,3,rain-fed,---,maize,---,2.6,---,---,---,---,10.2590759 7.2411218 0.0 20.0,yes,000c2a8a-4199-4ba6-bdfe-0d52be2af688,2026-02-14 00:06:00,2026-02-14,tester,2026-02-14 00:06:09,https://www.commcarehq.org/form/600a1295-8407-48e4-8cd4-2f6d8e24a13d,tester
35,2bd00053-4730-4d31-856c-b202ea8242df,community_06,Binta,Bello,male,1968-11-20,,08074956686,https://www.commcarehq.org/photos/farmer_35.jpg,4,mixed_farming,18,owned,2,rain-fed,---,groundnuts rice,1.4,---,1.5,---,---,---,10.2361186 7.4376319 0.0 20.0,yes,0fd0c100-fda2-4319-924b-b2ca34b46804,2026-05-29 00:06:00,2026-05-29,tester,2026-05-29 00:06:06,https://www.commcarehq.org/form/2bd00053-4730-4d31-856c-b202ea8242df,tester
36,4d3bf1c6-b29c-4d27-bd45-66e444c9ad85,community_03,Paul,Okafor,female,1988-10-27,70395287678,08018375124,https://www.commcarehq.org/photos/farmer_36.jpg,6,crop_farming,10,owned,2,rain-fed,---,rice maize groundnuts,1.3,3.8,1.9,goats,23,---,10.4410803 7.2601493 0.0 20.0,yes,bce166e4-1d52-4519-8d38-56e56e0bc480,2026-06-19 00:03:00,2026-06-19,tester,2026-06-19 00:03:16,https://www.commcarehq.org/form/4d3bf1c6-b29c-4d27-bd45-66e444c9ad85,tester
37,c72fcdc9-170f-43ee-afd9-3d76945da591,community_02,Binta,Ogunleye,female,1997-05-26,97517171228,08078687656,https://www.commcarehq.org/photos/farmer_37.jpg,11,crop_farming,4,owned,4,rain-fed,---,groundnuts rice,2.2,---,3.6,---,---,---,10.2617011 7.2723384 0.0 20.0,yes,7f8d8550-b831-49a6-87b0-f2483826ad40,2026-06-09 00:08:00,2026-06-09,tester,2026-06-09 00:08:10,https://www.commcarehq.org/form/c72fcdc9-170f-43ee-afd9-3d76945da591,tester
38,ddb2fbf6-a610-4200-943e-ed8f7a3747a1,community_05,Grace,Usman,male,1968-09-06,41992901998,08053848399,https://www.commcarehq.org/photos/farmer_38.jpg,6,mixed_farming,27,leased,1,rain-fed,---,groundnuts maize,2.7,3.8,---,goats,18,---,10.3140252 7.5052467 0.0 20.0,yes,807d62bb-d2a2-4392-81eb-c74495d8387b,2026-05-12 00:03:00,2026-05-12,tester,2026-05-12 00:03:18,https://www.commcarehq.org/form/ddb2fbf6-a610-4200-943e-ed8f7a3747a1,tester
39,124984fb-545e-48c8-868f-76c1377c5517,community_01,Elizabeth,Garba,female,1975-12-14,59400744392,08029309867,https://www.commcarehq.org/photos/farmer_39.jpg,2,crop_farming,31,owned,1,rain-fed,---,groundnuts,1.9,---,---,---,---,---,10.2444747 7.3152406 0.0 20.0,yes,5eafb1b7-1455-4caa-b25e-67398c6cae6c,2026-01-13 00:03:00,2026-01-13,tester,2026-01-13 00:03:18,https://www.commcarehq.org/form/124984fb-545e-48c8-868f-76c1377c5517,tester
40,039fe959-74a3-4c99-9452-b0f396ff98c2,community_05,Hauwa,Ali,male,1968-09-13,81433702538,08057203516,https://www.commcarehq.org/photos/farmer_40.jpg,9,crop_farming,31,owned,2,rain-fed,---,maize,---,5.2,---,goats,25,---,10.2414655 7.4327613 0.0 20.0,yes,60e7a9f0-56b0-4328-a163-3063ac3ab1ff,2026-02-04 00:02:00,2026-02-04,tester,2026-02-04 00:02:16,https://www.commcarehq.org/form/039fe959-74a3-4c99-9452-b0f396ff98c2,tester
41,2f26bf47-d4dd-4f31-9db4-5fde26f667b8,community_04,Joy,Ojo,male,1968-07-24,19169122031,08079027833,https://www.commcarehq.org/photos/farmer_41.jpg,6,crop_farming,13,owned,1,rain-fed,---,maize,---,3.1,---,goats,16,---,10.3546579 7.5894894 0.0 20.0,yes,aa46ea90-42a1-4052-9e7b-2142134daaac,2026-05-08 00:04:00,2026-05-08,tester,2026-05-08 00:04:13,https://www.commcarehq.org/form/2f26bf47-d4dd-4f31-9db4-5fde26f667b8,tester
42,35692667-3000-48e9-8219-0886a016bf38,community_06,Suleiman,Usman,male,1983-10-06,19030589268,08032471447,https://www.commcarehq.org/photos/farmer_42.jpg,5,mixed_farming,2,owned,3,rain-fed,---,rice groundnuts maize,0.9,4.1,3.2,goats,4,---,10.4580652 7.3448602 0.0 20.0,yes,7b63d8dc-45b7-43b1-9fcc-987deabe1e98,2026-01-09 00:06:00,2026-01-09,tester,2026-01-09 00:06:09,https://www.commcarehq.org/form/35692667-3000-48e9-8219-0886a016bf38,tester
43,b9c51093-48f6-49c0-b8ee-5e15c5a9a782,community_05,Daniel,Samuel,male,2005-10-08,97249621106,08029015917,https://www.commcarehq.org/photos/farmer_43.jpg,8,crop_farming,2,owned,1,rain-fed,---,maize groundnuts rice,2.2,4.8,2.4,goats,11,---,10.4847236 7.5709298 0.0 20.0,yes,f39790a9-9a2f-4bb3-a628-213dccd972bf,2026-04-03 00:06:00,2026-04-03,tester,2026-04-03 00:06:12,https://www.commcarehq.org/form/b9c51093-48f6-49c0-b8ee-5e15c5a9a782,tester
44,7b21d8f2-4228-4b1f-9141-dcfcf53473e1,community_01,John,Abdullahi,male,1976-01-11,71714003551,8085603975,https://www.commcarehq.org/photos/farmer_44.jpg,11,mixed_farming,29,owned,3,river_stream,---,rice groundnuts maize,1.6,6.0,0.7,goats,6,---,10.2647868 7.5738951 0.0 20.0,yes,ab58ef36-bd99-4d77-bf81-b20da5b1d5d5,2026-05-13 00:04:00,2026-05-13,tester,2026-05-13 00:04:07,https://www.commcarehq.org/form/7b21d8f2-4228-4b1f-9141-dcfcf53473e1,tester
45,ca17d020-27fc-42be-994a-52fe72b6215e,community_02,Binta,Sani,male,1976-10-13,34227856531,08055169390,https://www.commcarehq.org/photos/farmer_45.jpg,2,mixed_farming,27,family_land,1,rain-fed,---,rice maize,---,3.4,3.3,---,---,---,10.2291892 7.2239652 0.0 20.0,yes,448222bd-180a-4e46-aa34-594276ce872c,2026-05-04 00:05:00,2026-05-04,tester,2026-05-04 00:05:11,https://www.commcarehq.org/form/ca17d020-27fc-42be-994a-52fe72b6215e,tester
46,c10206a9-8910-4773-9848-22a274838f90,community_03,SARAH,Johnson,female,1990-12-18,80310934766,08053422023,https://www.commcarehq.org/photos/farmer_46.jpg,7,livestock_farming,11,leased,3,borehole,---,rice maize,---,3.5,1.6,goats,14,---,10.5866747 7.2860578 0.0 20.0,yes,d00d353c-7a08-4d0e-8c21-02df3b1d58a2,2026-01-13 00:04:00,2026-01-13,tester,2026-01-13 00:04:20,https://www.commcarehq.org/form/c10206a9-8910-4773-9848-22a274838f90,tester
47,d9b47873-5620-4738-880d-8ee40b3296e3,community_04,Joy,Ojo,female,1996-05-14,48149856894,08077345150,https://www.commcarehq.org/photos/farmer_47.jpg,7,mixed_farming,10,family_land,4,rain-fed,---,rice maize,---,5.0,1.2,---,---,---,10.2181213 7.2548145 0.0 20.0,yes,53e3d2a2-2fab-4a51-89ec-7f6c3a715ad3,2026-05-02 00:06:00,2026-05-02,tester,2026-05-02 00:06:19,https://www.commcarehq.org/form/d9b47873-5620-4738-880d-8ee40b3296e3,tester
48,679ee980-9e66-4811-8503-3cbd3693739f,community_01,Naomi,Yakubu,male,1956-04-26,52273653396,08055545403,https://www.commcarehq.org/photos/farmer_48.jpg,3,mixed_farming,47,leased,5,rain-fed,---,rice groundnuts maize,2.0,1.5,2.7,---,---,---,10.2591103 7.4722908 0.0 20.0,yes,3b5a79ad-f185-4229-81d8-3da3672c5493,2026-06-29 00:02:00,2026-06-29,tester,2026-06-29 00:02:11,https://www.commcarehq.org/form/679ee980-9e66-4811-8503-3cbd3693739f,tester
