number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user
11,2a224d05-9da7-453d-8606-5c946ad9a0b0,community_07,Mary,Michael,female,2004-06-17,59111077388,08073653527,https://www.commcarehq.org/photos/farmer_11.jpg,3,mixed_farming,2,owned,1,irrigation_scheme,---,maize groundnuts rice,1.8,4.5,1.6,---,---,---,10.276736 7.4659718 0.0 20.0,yes,0114eeae-0905-452d-9906-205bd3b29ab4,2026-02-14 00:06:00,2026-02-14,tester,2026-02-14 00:06:14,https://www.commcarehq.org/form/2a224d05-9da7-453d-8606-5c946ad9a0b0,tester
12,ad50f906-83f8-4184-857a-38112d6722dc,community_03,Joy,Yusuf,male,1986-09-04,,+2348044249710,https://www.commcarehq.org/photos/farmer_12.jpg,7,crop_farming,8,family_land,1,rain-fed,---,groundnuts,3.0,---,---,---,---,---,10.3821665 7.5544548 0.0 20.0,yes,df949726-19f9-4ea1-b510-9eab833b1cfb,2026-06-28 00:05:00,2026-06-28,tester,2026-06-28 00:05:20,https://www.commcarehq.org/form/ad50f906-83f8-4184-857a-38112d6722dc,tester
13,1f849898-1366-43de-b361-59e40e0dc648,community_03,Sarah,Ojo,female,1962-12-12,81708395052,08045911455,https://www.commcarehq.org/photos/farmer_13.jpg,5,mixed_farming,33,owned,3,rain-fed,---,maize rice,---,5.0,3.4,goats,18,---,10.2956983 7.375949 0.0 20.0,yes,27d758db-cd4e-43df-bb38-a357053f2298,2026-03-02 00:04:00,2026-03-02,tester,2026-03-02 00:04:15,https://www.commcarehq.org/form/1f849898-1366-43de-b361-59e40e0dc648,tester
14,9195e3cf-bec2-483c-938c-66208029b5a8,community_02,Mercy,Bello,male,1993-07-13,67616418900,08034083790,https://www.commcarehq.org/photos/farmer_14.jpg,11,crop_farming,7,leased,2,borehole,---,groundnuts maize rice,1.2,3.4,1.9,---,---,---,10.4896726 7.5362023 0.0 20.0,yes,7892b5fb-aec6-4567-b9ef-ff35e97b6073,2026-06-09 00:06:00,2026-06-09,tester,2026-06-09 00:06:05,https://www.commcarehq.org/form/9195e3cf-bec2-483c-938c-66208029b5a8,tester
15,f251429b-e3ce-4ac8-8f0b-1d751d6e53f0,community_07,Blessing,Okafor,female,2002-04-29,,08012343829,https://www.commcarehq.org/photos/farmer_15.jpg,9,mixed_farming,1,leased,2,rain-fed,---,groundnuts rice maize,1.0,0.6,1.0,goats rabbits,23,15,10.3860136 7.3024975 0.0 20.0,yes,3b584096-686e-4783-a9ae-354a012fcd91,2026-06-05 00:06:00,2026-06-05,tester,2026-06-05 00:06:08,https://www.commcarehq.org/form/f251429b-e3ce-4ac8-8f0b-1d751d6e53f0,tester
16,cd06181c-4b15-4cc4-b86f-280d7adfb182,community_06,Rebecca,Ahmed,male,2003-09-16,,08093706617,https://www.commcarehq.org/photos/farmer_16.jpg,8,livestock_farming,1,owned,2,rain-fed,---,maize groundnuts rice,2.6,1.1,3.9,---,---,---,10.4829235 7.3741949 0.0 20.0,yes,1cf66644-416a-442b-98b0-54891da6cefd,2026-06-16 00:04:00,2026-06-16,tester,2026-06-16 00:04:20,https://www.commcarehq.org/form/cd06181c-4b15-4cc4-b86f-280d7adfb182,tester
17,e6e5f52f-8899-4815-8ae1-fdf04374509f,community_03,Joy,Balogun,female,1993-05-26,42000950925,+2348075634343,https://www.commcarehq.org/photos/farmer_17.jpg,5,mixed_farming,5,owned,3,rain-fed,---,maize rice groundnuts,2.2,4.4,2.2,rabbits,---,16,10.3617605 7.2973221 0.0 20.0,yes,c7abe7d5-824b-4e45-b0ff-8dacd88d0e24,2026-04-05 00:05:00,2026-04-05,tester,2026-04-05 00:05:16,https://www.commcarehq.org/form/e6e5f52f-8899-4815-8ae1-fdf04374509f,tester
18,1814b55f-e2d5-40e7-9b8e-e58a7fa083bd,community_03,Suleiman,Sani,male,1982-02-06,53776816193,08015712479,https://www.commcarehq.org/photos/farmer_18.jpg,7,mixed_farming,10,owned,1,borehole,---,maize,---,0.8,---,goats,11,---,10.2505118 7.5473845 0.0 20.0,yes,5ea6b9cf-2f81-467f-9cc7-24004a47dbc2,2026-01-04 00:06:00,2026-01-04,tester,2026-01-04 00:06:14,https://www.commcarehq.org/form/1814b55f-e2d5-40e7-9b8e-e58a7fa083bd,tester
19,1949b75f-044a-4841-afa0-da798ee4313e,community_03,Samuel,Johnson,male,2001-05-10,,08040601539,https://www.commcarehq.org/photos/farmer_19.jpg,3,mixed_farming,5,owned,3,irrigation_scheme,---,rice maize,---,2.3,2.7,---,---,---,10.5790361 7.2831152 0.0 20.0,yes,48138f90-df1b-40bf-974d-8004248a414c,2026-06-19 00:02:00,2026-06-19,tester,2026-06-19 00:02:10,https://www.commcarehq.org/form/1949b75f-044a-4841-afa0-da798ee4313e,tester
20,853fede6-c4ee-463d-9778-3feace3f86b2,community_02,Mercy,Bello,male,1986-11-13,49648888517,08077469766,https://www.commcarehq.org/photos/farmer_20.jpg,4,mixed_farming,9,family_land,5,rain-fed,---,maize rice groundnuts,1.7,2.3,1.9,goats,19,---,10.2321767 7.2159443 0.0 20.0,yes,1e00607c-8f66-4f61-9edb-ed910f4bfcaa,2026-03-24 00:06:00,2026-03-24,tester,2026-03-24 00:06:13,https://www.commcarehq.org/form/853fede6-c4ee-463d-9778-3feace3f86b2,tester
21,6cc9cb0d-7fe1-47a9-9a7e-540d0074bc26,community_01,Peter,Adeyemi,female,1985-08-01,,08057154294,https://www.commcarehq.org/photos/farmer_21.jpg,6,crop_farming,11,family_land,1,borehole,---,rice maize,---,5.4,2.4,---,---,---,10.3293095 7.5880739 0.0 20.0,yes,6a1b5967-a8f9-442d-b3ed-2d26a74c536e,2026-05-12 00:08:00,2026-05-12,tester,2026-05-12 00:08:05,https://www.commcarehq.org/form/6cc9cb0d-7fe1-47a9-9a7e-540d0074bc26,tester
22,f94be3e4-629a-42bc-af79-18b58971bbcc,community_05,Mercy,Ali,male,1990-08-26,,08067259461,https://www.commcarehq.org/photos/farmer_22.jpg,8,crop_farming,18,owned,4,rain-fed,---,rice,---,---,3.4,---,---,---,10.4035488 7.30937 0.0 20.0,yes,68aa31ff-fdf3-4b43-b6f6-16fb836c4793,2026-05-01 00:03:00,2026-05-01,tester,2026-05-01 00:03:19,https://www.commcarehq.org/form/f94be3e4-629a-42bc-af79-18b58971bbcc,tester
23,f45013d6-ea0b-402c-be0c-d4141a85c91d,community_04,Joseph,Daniel,female,1984-06-06,54731837094,08095822594,https://www.commcarehq.org/photos/farmer_23.jpg,4,crop_farming,18,owned,2,other,Rainwater Harvesting,maize groundnuts rice,0.6,5.0,3.0,---,---,---,10.4654755 7.528299 0.0 20.0,yes,22e686e6-6b69-46a7-8efd-098f6a1eae34,2026-05-07 00:02:00,2026-05-07,tester,2026-05-07 00:02:09,https://www.commcarehq.org/form/f45013d6-ea0b-402c-be0c-d4141a85c91d,tester
24,a3f7acc5-a65f-49d5-b5e3-6d4c8c6635a6,community_04,Blessing,Johnson,female,1969-05-25,11962491159,08074614936,https://www.commcarehq.org/photos/farmer_24.jpg,2,livestock_farming,25,leased,3,borehole,---,groundnuts rice maize,2.1,6.0,4.0,---,---,---,10.2393773 7.4534991 0.0 20.0,yes,a031fbd9-3b80-40b6-89eb-9839e40e2155,2026-04-24 00:03:00,2026-04-24,tester,2026-04-24 00:03:14,https://www.commcarehq.org/form/a3f7acc5-a65f-49d5-b5e3-6d4c8c6635a6,tester
25,90a763d0-dd65-4916-9ecc-9a81b6000bf4,community_07,Grace,Johnson,female,1990-12-02,68115916826,08057108629,https://www.commcarehq.org/photos/farmer_25.jpg,4,crop_farming,1,leased,2,borehole,---,groundnuts,1.6,---,---,goats,20,---,10.5848116 7.4761254 0.0 20.0,yes,88560ca8-2917-4c07-83e8-fb4bbd5e9165,2026-03-19 00:03:00,2026-03-19,tester,2026-03-19 00:03:17,https://www.commcarehq.org/form/90a763d0-dd65-4916-9ecc-9a81b6000bf4,tester
26,cd3d2270-0d14-4c24-8a41-01d86f250c86,community_06,Mary,Garba,male,1991-07-17,64366683091,08025670649,https://www.commcarehq.org/photos/farmer_26.jpg,5,mixed_farming,8,family_land,3,borehole,---,rice groundnuts maize,2.8,4.4,1.6,goats,20,---,10.2525647 7.5638511 0.0 20.0,yes,bd5c103e-114c-46fd-a514-0b45045eb6bc,2026-04-17 00:03:00,2026-04-17,tester,2026-04-17 00:03:11,https://www.commcarehq.org/form/cd3d2270-0d14-4c24-8a41-01d86f250c86,tester
27,4202b6d0-3b59-41c6-a73c-ae00fec079ec,community_01,Mercy,Michael,female,1982-04-19,52118547373,08073191987,https://www.commcarehq.org/photos/farmer_27.jpg,6,crop_farming,26,owned,2,rain-fed,---,rice maize groundnuts,2.6,6.1,0.9,goats,2,---,10.5772677 7.3312025 0.0 20.0,yes,20bce604-66a3-48b7-a86b-7f202581656c,2026-06-15 00:02:00,2026-06-15,tester,2026-06-15 00:02:19,https://www.commcarehq.org/form/4202b6d0-3b59-41c6-a73c-ae00fec079ec,tester
28,c38309a0-f3d6-41fd-88ba-2e02e7179d0e,community_07,Musa,Ojo,male,2008-02-01,,08012533965,https://www.commcarehq.org/photos/farmer_28.jpg,7,crop_farming,1,family_land,3,dam_reservoir,---,rice,---,---,1.8,goats,9,---,10.2397418 7.4742721 0.0 20.0,yes,9656e343-ceff-48ce-8c2f-db5b36529a97,2026-06-15 00:04:00,2026-06-15,tester,2026-06-15 00:04:06,https://www.commcarehq.org/form/c38309a0-f3d6-41fd-88ba-2e02e7179d0e,tester
29,07f2f37d-4534-4384-bc00-ce3ddcd3fae9,community_03,John,James,female,1974-08-09,94350979790,08090397285,https://www.commcarehq.org/photos/farmer_29.jpg,7,crop_farming,10,family_land,4,other,Spring Water,groundnuts rice,2.2,---,0.6,goats,9,---,10.2063124 7.306147 0.0 20.0,yes,5702388b-f43c-4f79-ada2-f312f341fc12,2026-04-18 00:06:00,2026-04-18,tester,2026-04-18 00:06:08,https://www.commcarehq.org/form/07f2f37d-4534-4384-bc00-ce3ddcd3fae9,tester
30,03ca4670-0a80-46a0-8138-07ddbdee8121,community_05,Ruth,Ali,female,1984-11-22,95664907881,08007854904,https://www.commcarehq.org/photos/farmer_30.jpg,6,mixed_farming,15,owned,1,rain-fed,---,maize,---,4.2,---,---,---,---,10.3523618 7.4389567 0.0 20.0,yes,291a139d-9286-4617-8f32-89a7fd591793,2026-05-10 00:06:00,2026-05-10,tester,2026-05-10 00:06:18,https://www.commcarehq.org/form/03ca4670-0a80-46a0-8138-07ddbdee8121,tester
31,86b02086-da98-4df8-b859-b9152f66759d,community_01,Yusuf,James,female,1978-03-25,43879092961,08048373329,https://www.commcarehq.org/photos/farmer_31.jpg,9,crop_farming,4,family_land,2,rain-fed,---,rice maize groundnuts,1.5,5.7,3.8,goats rabbits,25,20,10.440164 7.3406585 0.0 20.0,yes,fee2b318-cf21-405b-bfc5-2c31c7cea780,2026-02-24 00:03:00,2026-02-24,tester,2026-02-24 00:03:20,https://www.commcarehq.org/form/86b02086-da98-4df8-b859-b9152f66759d,tester
32,46138e91-aba0-4937-96bf-726f0242e10c,community_02,Mary,Samuel,female,1991-09-20,94274662027,08065666027,https://www.commcarehq.org/photos/farmer_32.jpg,5,crop_farming,13,owned,3,rain-fed,---,rice groundnuts maize,1.5,2.5,1.8,---,---,---,10.4270374 7.2339828 0.0 20.0,yes,3da99ba8-1c97-461b-aa7e-0230d7b0a407,2026-02-10 00:08:00,2026-02-10,tester,2026-02-10 00:08:06,https://www.commcarehq.org/form/46138e91-aba0-4937-96bf-726f0242e10c,tester
33,5be32e0b-fd27-4c5d-a550-d86d9bb31709,community_05,James,Ali,female,1978-12-13,81961932838,08014264603,https://www.commcarehq.org/photos/farmer_33.jpg,1,crop_farming,5,family_land,2,rain-fed,---,maize groundnuts rice,1.5,4.7,2.3,---,---,---,10.2288302 7.5447057 0.0 20.0,yes,c5e80b2c-3871-4884-9733-b7ff5de56aff,2026-01-05 00:05:00,2026-01-05,tester,2026-01-05 00:05:07,https://www.commcarehq.org/form/5be32e0b-fd27-4c5d-a550-d86d9bb31709,tester
34,993a9340-9684-48b2-b6e9-2037d54c9b42,community_06,Blessing,Usman,female,1980-02-15,32869705212,08086890825,https://www.commcarehq.org/photos/farmer_34.jpg,2,crop_farming,25,owned,3,rain-fed,---,maize,---,2.6,---,---,---,---,10.2590759 7.2411218 0.0 20.0,yes,59836bc3-5106-4248-b717-6e00a51f2ee4,2026-02-14 00:06:00,2026-02-14,tester,2026-02-14 00:06:09,https://www.commcarehq.org/form/993a9340-9684-48b2-b6e9-2037d54c9b42,tester
35,6ecf8f22-c5a4-486b-a05a-fc601e034794,community_06,Binta,Bello,male,1968-11-20,,08074956686,https://www.commcarehq.org/photos/farmer_35.jpg,4,mixed_farming,18,owned,2,rain-fed,---,groundnuts rice,1.4,---,1.5,---,---,---,10.2361186 7.4376319 0.0 20.0,yes,3108ed57-e959-4068-b3bb-a120ad6bbc23,2026-05-29 00:06:00,2026-05-29,tester,2026-05-29 00:06:06,https://www.commcarehq.org/form/6ecf8f22-c5a4-486b-a05a-fc601e034794,tester
36,5a474f42-374c-42c2-b2f4-b784a0a8c79f,community_03,Paul,Okafor,female,1988-10-27,70395287678,08018375124,https://www.commcarehq.org/photos/farmer_36.jpg,6,crop_farming,10,owned,2,rain-fed,---,rice maize groundnuts,1.3,3.8,1.9,goats,23,---,10.4410803 7.2601493 0.0 20.0,yes,0003473c-2801-44cf-8fa7-788d0fef6cf1,2026-06-19 00:03:00,2026-06-19,tester,2026-06-19 00:03:16,https://www.commcarehq.org/form/5a474f42-374c-42c2-b2f4-b784a0a8c79f,tester
37,6aeabe9c-2ae0-4c32-8199-0341a846cdb8,community_02,Binta,Ogunleye,female,1997-05-26,97517171228,08078687656,https://www.commcarehq.org/photos/farmer_37.jpg,11,crop_farming,4,owned,4,rain-fed,---,groundnuts rice,2.2,---,3.6,---,---,---,10.2617011 7.2723384 0.0 20.0,yes,72900bc9-6e08-4ef8-9176-44bcf848a12d,2026-06-09 00:08:00,2026-06-09,tester,2026-06-09 00:08:10,https://www.commcarehq.org/form/6aeabe9c-2ae0-4c32-8199-0341a846cdb8,tester
38,73bf33e2-9c43-406d-a5dc-a7de1cd37aae,community_05,Grace,Usman,male,1968-09-06,41992901998,08053848399,https://www.commcarehq.org/photos/farmer_38.jpg,6,mixed_farming,27,leased,1,rain-fed,---,groundnuts maize,2.7,3.8,---,goats,18,---,10.3140252 7.5052467 0.0 20.0,yes,c01258e4-b3fc-42f2-aa99-caeb2d20468d,2026-05-12 00:03:00,2026-05-12,tester,2026-05-12 00:03:18,https://www.commcarehq.org/form/73bf33e2-9c43-406d-a5dc-a7de1cd37aae,tester
39,a5b99d85-c43c-412d-8cc3-1a7c7740f834,community_01,Elizabeth,Garba,female,1975-12-14,59400744392,08029309867,https://www.commcarehq.org/photos/farmer_39.jpg,2,crop_farming,31,owned,1,rain-fed,---,groundnuts,1.9,---,---,---,---,---,10.2444747 7.3152406 0.0 20.0,yes,f6fba18f-0b5f-4efe-a70d-626584251280,2026-01-13 00:03:00,2026-01-13,tester,2026-01-13 00:03:18,https://www.commcarehq.org/form/a5b99d85-c43c-412d-8cc3-1a7c7740f834,tester
40,537413f8-c7eb-45ed-98fa-c83b4dd625b1,community_05,Hauwa,Ali,male,1968-09-13,81433702538,08057203516,https://www.commcarehq.org/photos/farmer_40.jpg,9,crop_farming,31,owned,2,rain-fed,---,maize,---,5.2,---,goats,25,---,10.2414655 7.4327613 0.0 20.0,yes,ee389f39-56a0-4b51-a3e9-968c92acaf6f,2026-02-04 00:02:00,2026-02-04,tester,2026-02-04 00:02:16,https://www.commcarehq.org/form/537413f8-c7eb-45ed-98fa-c83b4dd625b1,tester
41,62c99056-80eb-4361-82d1-20b2f721992d,community_04,Joy,Ojo,male,1968-07-24,19169122031,08079027833,https://www.commcarehq.org/photos/farmer_41.jpg,6,crop_farming,13,owned,1,rain-fed,---,maize,---,3.1,---,goats,16,---,10.3546579 7.5894894 0.0 20.0,yes,b2fea0ab-ef19-4e64-a551-fc5e14a72468,2026-05-08 00:04:00,2026-05-08,tester,2026-05-08 00:04:13,https://www.commcarehq.org/form/62c99056-80eb-4361-82d1-20b2f721992d,tester
42,c1f4d896-08f1-4a11-bcbb-199575a21f64,community_06,Suleiman,Usman,male,1983-10-06,19030589268,08032471447,https://www.commcarehq.org/photos/farmer_42.jpg,5,mixed_farming,2,owned,3,rain-fed,---,rice groundnuts maize,0.9,4.1,3.2,goats,4,---,10.4580652 7.3448602 0.0 20.0,yes,b21ba9b0-2f63-43c6-8bf6-bc627667aa08,2026-01-09 00:06:00,2026-01-09,tester,2026-01-09 00:06:09,https://www.commcarehq.org/form/c1f4d896-08f1-4a11-bcbb-199575a21f64,tester
43,dbb40022-74d3-4eb5-a931-8c4c787101e6,community_05,Daniel,Samuel,male,2005-10-08,97249621106,08029015917,https://www.commcarehq.org/photos/farmer_43.jpg,8,crop_farming,2,owned,1,rain-fed,---,maize groundnuts rice,2.2,4.8,2.4,goats,11,---,10.4847236 7.5709298 0.0 20.0,yes,3555c700-49a3-4e7d-a82c-893ea3ea4172,2026-04-03 00:06:00,2026-04-03,tester,2026-04-03 00:06:12,https://www.commcarehq.org/form/dbb40022-74d3-4eb5-a931-8c4c787101e6,tester
44,750d2f0a-75eb-4d32-b727-410cace96fad,community_01,John,Abdullahi,male,1976-01-11,71714003551,8085603975,https://www.commcarehq.org/photos/farmer_44.jpg,11,mixed_farming,29,owned,3,river_stream,---,rice groundnuts maize,1.6,6.0,0.7,goats,6,---,10.2647868 7.5738951 0.0 20.0,yes,46c5c603-baf0-4fc3-a538-d63e5006c15d,2026-05-13 00:04:00,2026-05-13,tester,2026-05-13 00:04:07,https://www.commcarehq.org/form/750d2f0a-75eb-4d32-b727-410cace96fad,tester
45,e081e77a-6bf4-4479-bb1e-b40fa8af4a0d,community_02,Binta,Sani,male,1976-10-13,34227856531,08055169390,https://www.commcarehq.org/photos/farmer_45.jpg,2,mixed_farming,27,family_land,1,rain-fed,---,rice maize,---,3.4,3.3,---,---,---,10.2291892 7.2239652 0.0 20.0,yes,637e1a03-afe7-4db1-a038-39c4e07a6a93,2026-05-04 00:05:00,2026-05-04,tester,2026-05-04 00:05:11,https://www.commcarehq.org/form/e081e77a-6bf4-4479-bb1e-b40fa8af4a0d,tester
46,53ed57ca-0343-4052-9251-30d12ba2219d,community_03,SARAH,Johnson,female,1990-12-18,80310934766,08053422023,https://www.commcarehq.org/photos/farmer_46.jpg,7,livestock_farming,11,leased,3,borehole,---,rice maize,---,3.5,1.6,goats,14,---,10.5866747 7.2860578 0.0 20.0,yes,971dbe97-e675-4f67-9558-36b67bb7f23d,2026-01-13 00:04:00,2026-01-13,tester,2026-01-13 00:04:20,https://www.commcarehq.org/form/53ed57ca-0343-4052-9251-30d12ba2219d,tester
47,cecc90f4-5b6f-464d-9324-867efd40eefb,community_04,Joy,Ojo,female,1996-05-14,48149856894,08077345150,https://www.commcarehq.org/photos/farmer_47.jpg,7,mixed_farming,10,family_land,4,rain-fed,---,rice maize,---,5.0,1.2,---,---,---,10.2181213 7.2548145 0.0 20.0,yes,1edf4092-53ad-4071-be05-220d27046a19,2026-05-02 00:06:00,2026-05-02,tester,2026-05-02 00:06:19,https://www.commcarehq.org/form/cecc90f4-5b6f-464d-9324-867efd40eefb,tester
48,78149b30-2659-46d6-b2aa-ece95ff29626,community_01,Naomi,Yakubu,male,1956-04-26,52273653396,08055545403,https://www.commcarehq.org/photos/farmer_48.jpg,3,mixed_farming,47,leased,5,rain-fed,---,rice groundnuts maize,2.0,1.5,2.7,---,---,---,10.2591103 7.4722908 0.0 20.0,yes,72c1d00d-4b08-49d8-ba70-d7bfbfa0c109,2026-06-29 00:02:00,2026-06-29,tester,2026-06-29 00:02:11,https://www.commcarehq.org/form/78149b30-2659-46d6-b2aa-ece95ff29626,tester
