number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,gps_valid,farmer_age,registration_duration_minutes,registration_latitude,registration_longitude
11,4345e63a-3441-4fa5-a0c6-41b37ca7fa3c,community_07,Mary,Michael,female,2004-06-17,59111077388.0,8073653527,https://www.commcarehq.org/photos/farmer_11.jpg,3,mixed_farming,2,owned,1,irrigation_scheme,---,maize groundnuts rice,1.8,4.5,1.6,---,---,---,10.276736 7.4659718 0.0 20.0,yes,8c583a1e-23ce-48b3-8790-b17385953104,2026-02-14 00:06:00,2026-02-14,tester_07,2026-02-14 00:06:14,https://www.commcarehq.org/form/4345e63a-3441-4fa5-a0c6-41b37ca7fa3c,tester_07,True,22,6.0,10.276736,7.4659718
12,700c15c5-0cc2-4939-997e-7c8c14fd85b5,community_03,Joy,Yusuf,male,1986-09-04,,8044249710,https://www.commcarehq.org/photos/farmer_12.jpg,7,crop_farming,8,family_land,1,rain-fed,---,groundnuts,3.0,---,---,---,---,---,10.3821665 7.5544548 0.0 20.0,yes,162b756a-c139-4998-8e1c-291d6843d9ca,2026-06-28 00:05:00,2026-06-28,tester_03,2026-06-28 00:05:20,https://www.commcarehq.org/form/700c15c5-0cc2-4939-997e-7c8c14fd85b5,tester_03,True,39,5.0,10.3821665,7.5544548
13,3545ec0f-4061-42dc-a98e-a2c7045f7c1a,community_03,Sarah,Ojo,female,1962-12-12,81708395052.0,8045911455,https://www.commcarehq.org/photos/farmer_13.jpg,5,mixed_farming,33,owned,3,rain-fed,---,maize rice,---,5.0,3.4,goats,18,---,10.2956983 7.375949 0.0 20.0,yes,e5a4c95b-1dff-4387-9603-5ac9e3bcd70e,2026-03-02 00:04:00,2026-03-02,tester_03,2026-03-02 00:04:15,https://www.commcarehq.org/form/3545ec0f-4061-42dc-a98e-a2c7045f7c1a,tester_03,True,63,4.0,10.2956983,7.375949
14,d19bb8ba-4d87-4d7f-b2fc-6d1269162663,community_02,Mercy,Bello,male,1993-07-13,67616418900.0,8034083790,https://www.commcarehq.org/photos/farmer_14.jpg,11,crop_farming,7,leased,2,borehole,---,groundnuts maize rice,1.2,3.4,1.9,---,---,---,10.4896726 7.5362023 0.0 20.0,yes,50d85b3b-3805-4718-acfb-b7700a5c2f86,2026-06-09 00:06:00,2026-06-09,tester_02,2026-06-09 00:06:05,https://www.commcarehq.org/form/d19bb8ba-4d87-4d7f-b2fc-6d1269162663,tester_02,True,33,6.0,10.4896726,7.5362023
15,0c664a09-b6f7-4a8c-8647-03d3027dd791,community_07,Blessing,Okafor,female,2002-04-29,,8012343829,https://www.commcarehq.org/photos/farmer_15.jpg,9,mixed_farming,1,leased,2,rain-fed,---,groundnuts rice maize,1.0,0.6,1.0,goats rabbits,23,15,10.3860136 7.3024975 0.0 20.0,yes,9b5b58af-e4b6-4359-be89-03b404afd261,2026-06-05 00:06:00,2026-06-05,tester_07,2026-06-05 00:06:08,https://www.commcarehq.org/form/0c664a09-b6f7-4a8c-8647-03d3027dd791,tester_07,True,24,6.0,10.3860136,7.3024975
16,0d7e0520-4265-4523-ab46-71df09b6ca27,community_06,Rebecca,Ahmed,male,2003-09-16,,8093706617,https://www.commcarehq.org/photos/farmer_16.jpg,8,livestock_farming,1,owned,2,rain-fed,---,maize groundnuts rice,2.6,1.1,3.9,---,---,---,10.4829235 7.3741949 0.0 20.0,yes,17024584-c2ed-451f-bcce-f584f6f7e7e7,2026-06-16 00:04:00,2026-06-16,tester_06,2026-06-16 00:04:20,https://www.commcarehq.org/form/0d7e0520-4265-4523-ab46-71df09b6ca27,tester_06,True,22,4.0,10.4829235,7.3741949
17,f3bb5af6-563d-465a-9714-487dd7d48bcd,community_03,Joy,Balogun,female,1993-05-26,42000950925.0,8075634343,https://www.commcarehq.org/photos/farmer_17.jpg,5,mixed_farming,5,owned,3,rain-fed,---,maize rice groundnuts,2.2,4.4,2.2,rabbits,---,16,10.3617605 7.2973221 0.0 20.0,yes,0a326799-435b-476a-abfc-ed6ba0d8395f,2026-04-05 00:05:00,2026-04-05,tester_03,2026-04-05 00:05:16,https://www.commcarehq.org/form/f3bb5af6-563d-465a-9714-487dd7d48bcd,tester_03,True,33,5.0,10.3617605,7.2973221
18,0408386a-d6a2-4aad-b632-25dc075fa8f1,community_03,Suleiman,Sani,male,1982-02-06,53776816193.0,8015712479,https://www.commcarehq.org/photos/farmer_18.jpg,7,mixed_farming,10,owned,1,borehole,---,maize,---,0.8,---,goats,11,---,10.2505118 7.5473845 0.0 20.0,yes,c82f5468-cb66-4289-b22b-8b7a72a0a54b,2026-01-04 00:06:00,2026-01-04,tester_03,2026-01-04 00:06:14,https://www.commcarehq.org/form/0408386a-d6a2-4aad-b632-25dc075fa8f1,tester_03,True,44,6.0,10.2505118,7.5473845
19,412d6d58-c9cc-4149-a071-d72e4670793b,community_03,Samuel,Johnson,male,2001-05-10,,8040601539,https://www.commcarehq.org/photos/farmer_19.jpg,3,mixed_farming,5,owned,3,irrigation_scheme,---,rice maize,---,2.3,2.7,---,---,---,10.5790361 7.2831152 0.0 20.0,yes,4f71ef13-3dd3-41bf-a73b-47229b955f9d,2026-06-19 00:02:00,2026-06-19,tester_03,2026-06-19 00:02:10,https://www.commcarehq.org/form/412d6d58-c9cc-4149-a071-d72e4670793b,tester_03,True,25,2.0,10.5790361,7.2831152
20,cacd7228-c1b4-48eb-9eb4-6eb4431dc36d,community_02,Mercy,Bello,male,1986-11-13,49648888517.0,8077469766,https://www.commcarehq.org/photos/farmer_20.jpg,4,mixed_farming,9,family_land,5,rain-fed,---,maize rice groundnuts,1.7,2.3,1.9,goats,19,---,10.2321767 7.2159443 0.0 20.0,yes,1013332a-613c-4337-a8e6-b1a215ae7f79,2026-03-24 00:06:00,2026-03-24,tester_02,2026-03-24 00:06:13,https://www.commcarehq.org/form/cacd7228-c1b4-48eb-9eb4-6eb4431dc36d,tester_02,True,39,6.0,10.2321767,7.2159443
21,2be88bf6-79a3-4cb6-9e36-878d490f7374,community_01,Peter,Adeyemi,female,1985-08-01,,8057154294,https://www.commcarehq.org/photos/farmer_21.jpg,6,crop_farming,11,family_land,1,borehole,---,rice maize,---,5.4,2.4,---,---,---,10.3293095 7.5880739 0.0 20.0,yes,174ac534-5424-4f95-b1dc-5ead465fa5e4,2026-05-12 00:08:00,2026-05-12,tester_01,2026-05-12 00:08:05,https://www.commcarehq.org/form/2be88bf6-79a3-4cb6-9e36-878d490f7374,tester_01,True,41,8.0,10.3293095,7.5880739
22,4e1982e8-9495-46b5-bf8d-4906cbaa11fd,community_05,Mercy,Ali,male,1990-08-26,,8067259461,https://www.commcarehq.org/photos/farmer_22.jpg,8,crop_farming,18,owned,4,rain-fed,---,rice,---,---,3.4,---,---,---,10.4035488 7.30937 0.0 20.0,yes,22026480-160d-44b7-b828-a30c66199a84,2026-05-01 00:03:00,2026-05-01,tester_05,2026-05-01 00:03:19,https://www.commcarehq.org/form/4e1982e8-9495-46b5-bf8d-4906cbaa11fd,tester_05,True,35,3.0,10.4035488,7.30937
23,7fc6c17c-4e0b-43fe-9cbf-f8982959a02f,community_04,Joseph,Daniel,female,1984-06-06,54731837094.0,8095822594,https://www.commcarehq.org/photos/farmer_23.jpg,4,crop_farming,18,owned,2,other,Rainwater Harvesting,maize groundnuts rice,0.6,5.0,3.0,---,---,---,10.4654755 7.528299 0.0 20.0,yes,b44b3301-065a-43fc-858a-56b7bff8a739,2026-05-07 00:02:00,2026-05-07,tester_04,2026-05-07 00:02:09,https://www.commcarehq.org/form/7fc6c17c-4e0b-43fe-9cbf-f8982959a02f,tester_04,True,42,2.0,10.4654755,7.528299
24,a2697f17-5e0d-416c-ab84-dd3e9111f20f,community_04,Blessing,Johnson,female,1969-05-25,11962491159.0,8074614936,https://www.commcarehq.org/photos/farmer_24.jpg,2,livestock_farming,25,leased,3,borehole,---,groundnuts rice maize,2.1,6.0,4.0,---,---,---,10.2393773 7.4534991 0.0 20.0,yes,e8e063e3-8651-4e03-b652-a28d76e8d466,2026-04-24 00:03:00,2026-04-24,tester_04,2026-04-24 00:03:14,https://www.commcarehq.org/form/a2697f17-5e0d-416c-ab84-dd3e9111f20f,tester_04,True,57,3.0,10.2393773,7.4534991
25,71c86551-53e0-457d-b2a9-653e2cfa37e7,community_07,Grace,Johnson,female,1990-12-02,68115916826.0,8057108629,https://www.commcarehq.org/photos/farmer_25.jpg,4,crop_farming,1,leased,2,borehole,---,groundnuts,1.6,---,---,goats,20,---,10.5848116 7.4761254 0.0 20.0,yes,271d4428-b412-466b-bc8b-36a1aa7fd656,2026-03-19 00:03:00,2026-03-19,tester_07,2026-03-19 00:03:17,https://www.commcarehq.org/form/71c86551-53e0-457d-b2a9-653e2cfa37e7,tester_07,True,35,3.0,10.5848116,7.4761254
26,ded6a824-530c-4b61-a28f-d8c9a555ad65,community_06,Mary,Garba,male,1991-07-17,64366683091.0,8025670649,https://www.commcarehq.org/photos/farmer_26.jpg,5,mixed_farming,8,family_land,3,borehole,---,rice groundnuts maize,2.8,4.4,1.6,goats,20,---,10.2525647 7.5638511 0.0 20.0,yes,8ac8882e-5497-40d9-8cf9-9a66131b9724,2026-04-17 00:03:00,2026-04-17,tester_06,2026-04-17 00:03:11,https://www.commcarehq.org/form/ded6a824-530c-4b61-a28f-d8c9a555ad65,tester_06,True,35,3.0,10.2525647,7.5638511
27,1f0c1518-4ad8-4bbe-a631-8abf2134f824,community_01,Mercy,Michael,female,1982-04-19,52118547373.0,8073191987,https://www.commcarehq.org/photos/farmer_27.jpg,6,crop_farming,26,owned,2,rain-fed,---,rice maize groundnuts,2.6,6.1,0.9,goats,2,---,10.5772677 7.3312025 0.0 20.0,yes,f76e166e-3ac0-4bd2-81a5-21c0369334be,2026-06-15 00:02:00,2026-06-15,tester_01,2026-06-15 00:02:19,https://www.commcarehq.org/form/1f0c1518-4ad8-4bbe-a631-8abf2134f824,tester_01,True,44,2.0,10.5772677,7.3312025
28,0423be21-d659-48cd-9f68-5c4210891242,community_07,Musa,Ojo,male,2008-02-01,,8012533965,https://www.commcarehq.org/photos/farmer_28.jpg,7,crop_farming,1,family_land,3,dam_reservoir,---,rice,---,---,1.8,goats,9,---,10.2397418 7.4742721 0.0 20.0,yes,eeda2206-36f7-4732-923d-23c8e68132ed,2026-06-15 00:04:00,2026-06-15,tester_07,2026-06-15 00:04:06,https://www.commcarehq.org/form/0423be21-d659-48cd-9f68-5c4210891242,tester_07,True,18,4.0,10.2397418,7.4742721
29,c905226f-7036-4664-9c05-72f12514ab40,community_03,John,James,female,1974-08-09,94350979790.0,8090397285,https://www.commcarehq.org/photos/farmer_29.jpg,7,crop_farming,10,family_land,4,other,Spring Water,groundnuts rice,2.2,---,0.6,goats,9,---,10.2063124 7.306147 0.0 20.0,yes,5c050ca4-6a0d-4371-a71f-00cffe5ef21c,2026-04-18 00:06:00,2026-04-18,tester_03,2026-04-18 00:06:08,https://www.commcarehq.org/form/c905226f-7036-4664-9c05-72f12514ab40,tester_03,True,52,6.0,10.2063124,7.306147
30,d4067e10-5a60-4667-908b-96604ba1042c,community_05,Ruth,Ali,female,1984-11-22,95664907881.0,8007854904,https://www.commcarehq.org/photos/farmer_30.jpg,6,mixed_farming,15,owned,1,rain-fed,---,maize,---,4.2,---,---,---,---,10.3523618 7.4389567 0.0 20.0,yes,b990a12f-41f4-47d9-bebb-09947ef84d81,2026-05-10 00:06:00,2026-05-10,tester_05,2026-05-10 00:06:18,https://www.commcarehq.org/form/d4067e10-5a60-4667-908b-96604ba1042c,tester_05,True,41,6.0,10.3523618,7.4389567
31,a823ae1f-a4e8-445a-9cbd-07a3c1b49ee0,community_01,Yusuf,James,female,1978-03-25,43879092961.0,8048373329,https://www.commcarehq.org/photos/farmer_31.jpg,9,crop_farming,4,family_land,2,rain-fed,---,rice maize groundnuts,1.5,5.7,3.8,goats rabbits,25,20,10.440164 7.3406585 0.0 20.0,yes,c0b82cfc-acdf-45b2-bff9-cf5abf6f13a9,2026-02-24 00:03:00,2026-02-24,tester_01,2026-02-24 00:03:20,https://www.commcarehq.org/form/a823ae1f-a4e8-445a-9cbd-07a3c1b49ee0,tester_01,True,48,3.0,10.440164,7.3406585
32,2aa5f0ad-1939-41e7-acdb-5297c955dcb7,community_02,Mary,Samuel,female,1991-09-20,94274662027.0,8065666027,https://www.commcarehq.org/photos/farmer_32.jpg,5,crop_farming,13,owned,3,rain-fed,---,rice groundnuts maize,1.5,2.5,1.8,---,---,---,10.4270374 7.2339828 0.0 20.0,yes,b32ab574-55ec-4db5-a794-26d627fe1750,2026-02-10 00:08:00,2026-02-10,tester_02,2026-02-10 00:08:06,https://www.commcarehq.org/form/2aa5f0ad-1939-41e7-acdb-5297c955dcb7,tester_02,True,34,8.0,10.4270374,7.2339828
33,e5372b10-3e56-4d75-8547-3ef83fe70013,community_05,James,Ali,female,1978-12-13,81961932838.0,8014264603,https://www.commcarehq.org/photos/farmer_33.jpg,1,crop_farming,5,family_land,2,rain-fed,---,maize groundnuts rice,1.5,4.7,2.3,---,---,---,10.2288302 7.5447057 0.0 20.0,yes,f14fc6cd-cfcf-475e-bbed-5ffeac8224e9,2026-01-05 00:05:00,2026-01-05,tester_05,2026-01-05 00:05:07,https://www.commcarehq.org/form/e5372b10-3e56-4d75-8547-3ef83fe70013,tester_05,True,47,5.0,10.2288302,7.5447057
34,5dcb623c-ce08-471a-8133-d1fd53c8dab0,community_06,Blessing,Usman,female,1980-02-15,32869705212.0,8086890825,https://www.commcarehq.org/photos/farmer_34.jpg,2,crop_farming,25,owned,3,rain-fed,---,maize,---,2.6,---,---,---,---,10.2590759 7.2411218 0.0 20.0,yes,561b16b5-944f-4dca-9c52-d7c96e95ba73,2026-02-14 00:06:00,2026-02-14,tester_06,2026-02-14 00:06:09,https://www.commcarehq.org/form/5dcb623c-ce08-471a-8133-d1fd53c8dab0,tester_06,True,46,6.0,10.2590759,7.2411218
35,a79a3d51-3e57-4f14-a38c-665ad491d555,community_06,Binta,Bello,male,1968-11-20,,8074956686,https://www.commcarehq.org/photos/farmer_35.jpg,4,mixed_farming,18,owned,2,rain-fed,---,groundnuts rice,1.4,---,1.5,---,---,---,10.2361186 7.4376319 0.0 20.0,yes,6d630adb-591b-4474-9918-73bf56d36cab,2026-05-29 00:06:00,2026-05-29,tester_06,2026-05-29 00:06:06,https://www.commcarehq.org/form/a79a3d51-3e57-4f14-a38c-665ad491d555,tester_06,True,57,6.0,10.2361186,7.4376319
36,5aaab9eb-0e1a-4348-81bd-2388af4be541,community_03,Paul,Okafor,female,1988-10-27,70395287678.0,8018375124,https://www.commcarehq.org/photos/farmer_36.jpg,6,crop_farming,10,owned,2,rain-fed,---,rice maize groundnuts,1.3,3.8,1.9,goats,23,---,10.4410803 7.2601493 0.0 20.0,yes,89daa4ce-9c87-4c56-aaae-ab15da16a71f,2026-06-19 00:03:00,2026-06-19,tester_03,2026-06-19 00:03:16,https://www.commcarehq.org/form/5aaab9eb-0e1a-4348-81bd-2388af4be541,tester_03,True,37,3.0,10.4410803,7.2601493
37,62a914bd-0e97-4c26-90ec-c24c814359d9,community_02,Binta,Ogunleye,female,1997-05-26,97517171228.0,8078687656,https://www.commcarehq.org/photos/farmer_37.jpg,11,crop_farming,4,owned,4,rain-fed,---,groundnuts rice,2.2,---,3.6,---,---,---,10.2617011 7.2723384 0.0 20.0,yes,a0e1f86a-8b28-4482-9861-208969437698,2026-06-09 00:08:00,2026-06-09,tester_02,2026-06-09 00:08:10,https://www.commcarehq.org/form/62a914bd-0e97-4c26-90ec-c24c814359d9,tester_02,True,29,8.0,10.2617011,7.2723384
38,3b6fe207-1bbd-4808-a44c-df66dcb95ebf,community_05,Grace,Usman,male,1968-09-06,41992901998.0,8053848399,https://www.commcarehq.org/photos/farmer_38.jpg,6,mixed_farming,27,leased,1,rain-fed,---,groundnuts maize,2.7,3.8,---,goats,18,---,10.3140252 7.5052467 0.0 20.0,yes,55bc0f98-1461-45b5-9732-c6f3f186e685,2026-05-12 00:03:00,2026-05-12,tester_05,2026-05-12 00:03:18,https://www.commcarehq.org/form/3b6fe207-1bbd-4808-a44c-df66dcb95ebf,tester_05,True,57,3.0,10.3140252,7.5052467
39,8aae42c8-cf16-43a0-a590-d54689085e70,community_01,Elizabeth,Garba,female,1975-12-14,59400744392.0,8029309867,https://www.commcarehq.org/photos/farmer_39.jpg,2,crop_farming,31,owned,1,rain-fed,---,groundnuts,1.9,---,---,---,---,---,10.2444747 7.3152406 0.0 20.0,yes,9d6ee19f-8000-4921-83dd-1ec3e934191d,2026-01-13 00:03:00,2026-01-13,tester_01,2026-01-13 00:03:18,https://www.commcarehq.org/form/8aae42c8-cf16-43a0-a590-d54689085e70,tester_01,True,50,3.0,10.2444747,7.3152406
40,c7fcbdc1-1392-41d7-a8d8-33abff13e6e4,community_05,Hauwa,Ali,male,1968-09-13,81433702538.0,8057203516,https://www.commcarehq.org/photos/farmer_40.jpg,9,crop_farming,31,owned,2,rain-fed,---,maize,---,5.2,---,goats,25,---,10.2414655 7.4327613 0.0 20.0,yes,401ca8a6-d0e9-4f53-a6b0-16041e59c9e5,2026-02-04 00:02:00,2026-02-04,tester_05,2026-02-04 00:02:16,https://www.commcarehq.org/form/c7fcbdc1-1392-41d7-a8d8-33abff13e6e4,tester_05,True,57,2.0,10.2414655,7.4327613
41,d32d3b0c-e263-44ae-9285-f3dc48ead1a4,community_04,Joy,Ojo,male,1968-07-24,19169122031.0,8079027833,https://www.commcarehq.org/photos/farmer_41.jpg,6,crop_farming,13,owned,1,rain-fed,---,maize,---,3.1,---,goats,16,---,10.3546579 7.5894894 0.0 20.0,yes,1f999fff-5472-45c0-93c6-ddf4324029ea,2026-05-08 00:04:00,2026-05-08,tester_04,2026-05-08 00:04:13,https://www.commcarehq.org/form/d32d3b0c-e263-44ae-9285-f3dc48ead1a4,tester_04,True,58,4.0,10.3546579,7.5894894
42,3b002b6e-3a64-49e0-aa80-21d4198dde3c,community_06,Suleiman,Usman,male,1983-10-06,19030589268.0,8032471447,https://www.commcarehq.org/photos/farmer_42.jpg,5,mixed_farming,2,owned,3,rain-fed,---,rice groundnuts maize,0.9,4.1,3.2,goats,4,---,10.4580652 7.3448602 0.0 20.0,yes,263a50b5-a00d-49db-9035-65bb6d1a30a6,2026-01-09 00:06:00,2026-01-09,tester_06,2026-01-09 00:06:09,https://www.commcarehq.org/form/3b002b6e-3a64-49e0-aa80-21d4198dde3c,tester_06,True,42,6.0,10.4580652,7.3448602
43,485d71d2-6a52-4ddf-b1d5-11b6f1818d89,community_05,Daniel,Samuel,male,2005-10-08,97249621106.0,8029015917,https://www.commcarehq.org/photos/farmer_43.jpg,8,crop_farming,2,owned,1,rain-fed,---,maize groundnuts rice,2.2,4.8,2.4,goats,11,---,10.4847236 7.5709298 0.0 20.0,yes,0cb01918-4651-4592-87f9-3c35be8ab5c1,2026-04-03 00:06:00,2026-04-03,tester_05,2026-04-03 00:06:12,https://www.commcarehq.org/form/485d71d2-6a52-4ddf-b1d5-11b6f1818d89,tester_05,True,20,6.0,10.4847236,7.5709298
