number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,gps_valid
34,71755b91-eade-4f7c-82d8-e66fd093c0ab,community_06,Blessing,Usman,female,1980-02-15,32869705212.0,08086890825,https://www.commcarehq.org/photos/farmer_34.jpg,2,crop_farming,25,owned,3,rain-fed,---,maize,---,2.6,---,---,---,---,10.2590759 7.2411218 0.0 20.0,yes,e34e93f4-8d20-44f3-8a33-49ae9101daa3,2026-02-14 00:06:00,2026-02-14,tester,2026-02-14 00:06:09,https://www.commcarehq.org/form/71755b91-eade-4f7c-82d8-e66fd093c0ab,tester,True
35,d8138c8f-5f58-4c4d-bf36-0779365738e9,community_06,Binta,Bello,male,1968-11-20,,08074956686,https://www.commcarehq.org/photos/farmer_35.jpg,4,mixed_farming,18,owned,2,rain-fed,---,groundnuts rice,1.4,---,1.5,---,---,---,10.2361186 7.4376319 0.0 20.0,yes,ee1ef6ba-3ee2-44ed-9267-f1cb34f023fe,2026-05-29 00:06:00,2026-05-29,tester,2026-05-29 00:06:06,https://www.commcarehq.org/form/d8138c8f-5f58-4c4d-bf36-0779365738e9,tester,True
36,513190d3-bab1-4d66-b8d8-9226b21819e3,community_03,Paul,Okafor,female,1988-10-27,70395287678.0,08018375124,https://www.commcarehq.org/photos/farmer_36.jpg,6,crop_farming,10,owned,2,rain-fed,---,rice maize groundnuts,1.3,3.8,1.9,goats,23,---,10.4410803 7.2601493 0.0 20.0,yes,ebbabe22-6de1-4521-bd20-c0982f73f2ce,2026-06-19 00:03:00,2026-06-19,tester,2026-06-19 00:03:16,https://www.commcarehq.org/form/513190d3-bab1-4d66-b8d8-9226b21819e3,tester,True
37,96f47b62-d16a-4db8-be1b-5b9840bb177f,community_02,Binta,Ogunleye,female,1997-05-26,97517171228.0,08078687656,https://www.commcarehq.org/photos/farmer_37.jpg,11,crop_farming,4,owned,4,rain-fed,---,groundnuts rice,2.2,---,3.6,---,---,---,10.2617011 7.2723384 0.0 20.0,yes,6a9a7b2d-01fc-46b5-b207-0941e1d23920,2026-06-09 00:08:00,2026-06-09,tester,2026-06-09 00:08:10,https://www.commcarehq.org/form/96f47b62-d16a-4db8-be1b-5b9840bb177f,tester,True
38,34e80cc7-d5c3-4cde-be3b-379b66378f73,community_05,Grace,Usman,male,1968-09-06,41992901998.0,08053848399,https://www.commcarehq.org/photos/farmer_38.jpg,6,mixed_farming,27,leased,1,rain-fed,---,groundnuts maize,2.7,3.8,---,goats,18,---,10.3140252 7.5052467 0.0 20.0,yes,345c8102-7337-499b-afca-54edd80b4ba7,2026-05-12 00:03:00,2026-05-12,tester,2026-05-12 00:03:18,https://www.commcarehq.org/form/34e80cc7-d5c3-4cde-be3b-379b66378f73,tester,True
39,3247f8e8-527d-464c-9b8a-d5eeb8c2d1d9,community_01,Elizabeth,Garba,female,1975-12-14,59400744392.0,08029309867,https://www.commcarehq.org/photos/farmer_39.jpg,2,crop_farming,31,owned,1,rain-fed,---,groundnuts,1.9,---,---,---,---,---,10.2444747 7.3152406 0.0 20.0,yes,bb7ce744-de84-430d-81d5-0509ba27e0f0,2026-01-13 00:03:00,2026-01-13,tester,2026-01-13 00:03:18,https://www.commcarehq.org/form/3247f8e8-527d-464c-9b8a-d5eeb8c2d1d9,tester,True
40,a2b46b34-6bf6-4ebe-b95c-ed17f48ea5a3,community_05,Hauwa,Ali,male,1968-09-13,81433702538.0,08057203516,https://www.commcarehq.org/photos/farmer_40.jpg,9,crop_farming,31,owned,2,rain-fed,---,maize,---,5.2,---,goats,25,---,10.2414655 7.4327613 0.0 20.0,yes,e6d477ee-8c21-42e0-8e10-d5defce1fb0e,2026-02-04 00:02:00,2026-02-04,tester,2026-02-04 00:02:16,https://www.commcarehq.org/form/a2b46b34-6bf6-4ebe-b95c-ed17f48ea5a3,tester,True
41,1f1cda89-05f7-4926-8819-3ee89f51b87c,community_04,Joy,Ojo,male,1968-07-24,19169122031.0,08079027833,https://www.commcarehq.org/photos/farmer_41.jpg,6,crop_farming,13,owned,1,rain-fed,---,maize,---,3.1,---,goats,16,---,10.3546579 7.5894894 0.0 20.0,yes,0767c9f4-7fbd-486c-91a6-bf07da6446af,2026-05-08 00:04:00,2026-05-08,tester,2026-05-08 00:04:13,https://www.commcarehq.org/form/1f1cda89-05f7-4926-8819-3ee89f51b87c,tester,True
42,b1d36552-85f1-4ccf-aab7-3c9470112c26,community_06,Suleiman,Usman,male,1983-10-06,19030589268.0,08032471447,https://www.commcarehq.org/photos/farmer_42.jpg,5,mixed_farming,2,owned,3,rain-fed,---,rice groundnuts maize,0.9,4.1,3.2,goats,4,---,10.4580652 7.3448602 0.0 20.0,yes,2ae14ce5-32bd-44ec-9b51-2ecbd930ec3d,2026-01-09 00:06:00,2026-01-09,tester,2026-01-09 00:06:09,https://www.commcarehq.org/form/b1d36552-85f1-4ccf-aab7-3c9470112c26,tester,True
43,77dd0722-f333-4c57-95ff-736ca89653f9,community_05,Daniel,Samuel,male,2005-10-08,97249621106.0,08029015917,https://www.commcarehq.org/photos/farmer_43.jpg,8,crop_farming,2,owned,1,rain-fed,---,maize groundnuts rice,2.2,4.8,2.4,goats,11,---,10.4847236 7.5709298 0.0 20.0,yes,b77dc8b2-e0a0-4b14-a7a2-64f067628e83,2026-04-03 00:06:00,2026-04-03,tester,2026-04-03 00:06:12,https://www.commcarehq.org/form/77dd0722-f333-4c57-95ff-736ca89653f9,tester,True
44,5ccc3404-eeb5-4454-91ba-f3be1fcecab4,community_01,John,Abdullahi,male,1976-01-11,71714003551.0,08085603975,https://www.commcarehq.org/photos/farmer_44.jpg,11,mixed_farming,29,owned,3,river_stream,---,rice groundnuts maize,1.6,6.0,0.7,goats,6,---,10.2647868 7.5738951 0.0 20.0,yes,278ffa82-e440-4aa7-ba30-d050c7535a7e,2026-05-13 00:04:00,2026-05-13,tester,2026-05-13 00:04:07,https://www.commcarehq.org/form/5ccc3404-eeb5-4454-91ba-f3be1fcecab4,tester,True
45,205e11d2-5d02-48ed-9ce8-3075c2fdf93d,community_02,Binta,Sani,male,1976-10-13,34227856531.0,08055169390,https://www.commcarehq.org/photos/farmer_45.jpg,2,mixed_farming,27,family_land,1,rain-fed,---,rice maize,---,3.4,3.3,---,---,---,10.2291892 7.2239652 0.0 20.0,yes,78441b15-6465-49fd-997d-d93ed6a21704,2026-05-04 00:05:00,2026-05-04,tester,2026-05-04 00:05:11,https://www.commcarehq.org/form/205e11d2-5d02-48ed-9ce8-3075c2fdf93d,tester,True
46,5a326c17-e941-4593-bf2c-684942943854,community_03,Sarah,Johnson,female,1990-12-18,80310934766.0,08053422023,https://www.commcarehq.org/photos/farmer_46.jpg,7,livestock_farming,11,leased,3,borehole,---,rice maize,---,3.5,1.6,goats,14,---,10.5866747 7.2860578 0.0 20.0,yes,928e489f-063b-4cfc-a181-f7a0b65914bf,2026-01-13 00:04:00,2026-01-13,tester,2026-01-13 00:04:20,https://www.commcarehq.org/form/5a326c17-e941-4593-bf2c-684942943854,tester,True
47,74849224-1fc9-4e20-beb7-b32bf163de3e,community_04,Joy,Ojo,female,1996-05-14,48149856894.0,08077345150,https://www.commcarehq.org/photos/farmer_47.jpg,7,mixed_farming,10,family_land,4,rain-fed,---,rice maize,---,5.0,1.2,---,---,---,10.2181213 7.2548145 0.0 20.0,yes,4e0f8419-84d5-4dbe-be7c-94612577fee5,2026-05-02 00:06:00,2026-05-02,tester,2026-05-02 00:06:19,https://www.commcarehq.org/form/74849224-1fc9-4e20-beb7-b32bf163de3e,tester,True
